timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,prev_mag,mag,mag_delta,original_steps
43:00.0,0.68295002,-9.537000656,0.517949998,0.005775,0.004125,0.0034375,9.61524464,9.575441214,-0.039803425,0
43:00.1,0.726000011,-9.54900074,0.585000038,-0.0017875,-0.0075625,0.011962499,9.575441214,9.594410675,0.018969461,0
43:00.2,0.774000049,-9.586950302,0.520950019,0.017462499,0.004125,0.0012375,9.594410675,9.632241748,0.037831073,0
43:00.2,0.72300005,-9.61605072,0.505950034,0.020624999,0.005225,-0.0039875,9.632241748,9.65645618,0.024214432,0
43:00.3,0.718950033,-9.537000656,0.526050031,0.022824999,0.018012499,0.0023375,9.65645618,9.578517594,-0.077938586,0
43:00.4,0.879000068,-9.352950096,0.664950013,0.0078375,0.051012501,0.0044,9.578517594,9.417668243,-0.160849351,0
43:00.5,0.445950031,-9.870000839,0.451050013,-0.060224999,0.073287502,-0.039187498,9.417668243,9.890360666,0.472692423,0
43:00.6,0.549000025,-9.49200058,0.037050001,0.044,-0.154412493,0.0374,9.890360666,9.507936092,-0.382424574,0
43:00.6,0.75000006,-9.367050171,0.351000011,0.053624999,-0.039462499,0.0683375,9.507936092,9.403580701,-0.104355391,0
43:00.7,1.108950019,-9.456000328,-0.261000007,0.193049997,-0.0320375,-0.014712499,9.403580701,9.524380996,0.120800295,0
43:00.8,-0.052050002,-9.67800045,0.940050066,0.051424999,-0.122512497,-0.069025002,9.524380996,9.723687369,0.199306373,0
43:00.9,0.508050025,-9.646950722,1.159950018,0.106837496,-0.108625002,-0.036987498,9.723687369,9.729710021,0.006022653,0
43:00.9,-0.673950016,-9.508050919,1.335000038,0.147262499,-0.315012485,-0.094462499,9.729710021,9.624939792,-0.104770229,0
43:01.0,0.534000039,-9.508050919,0.757950008,0.286687493,-0.178887501,-0.0540375,9.624939792,9.553150084,-0.071789708,0
43:01.1,-0.547049999,-9.259050369,1.38105011,0.218624994,-0.293837488,-0.061462499,9.553150084,9.377450445,-0.175699639,0
43:01.2,1.018050075,-10.03995037,0.645000041,0.3282125,-0.399162501,0.0182875,9.377450445,10.11202524,0.734574795,0
43:01.3,-1.668000102,-10.3369503,0.255000025,0.268537492,-0.483175009,-0.356262505,10.11202524,10.4737668,0.361741556,0
43:01.3,-2.035050154,-12.14805031,-0.331050009,0.0100375,-0.589599967,-0.343474984,10.4737668,12.32177542,1.848008625,0
43:01.4,2.902950048,-11.17095089,-5.748000145,-0.913687468,0.578875005,0.245024994,12.32177542,12.89405942,0.572284003,0
43:01.5,2.383050203,-11.92695045,1.480950117,-2.018362522,-1.308037519,0.580250025,12.89405942,12.25252173,-0.641537697,0
43:01.6,-1.374000072,-9.232950211,-0.700050056,-0.75515002,-1.465474963,0.868587494,12.25252173,9.360839485,-2.891682242,0
43:01.7,0.394950032,-8.392050743,0.162,-0.617924988,0.522499979,1.186762452,9.360839485,8.402900999,-0.957938486,0
43:01.7,1.732050061,-7.417950153,-0.657000005,-0.197587505,0.519199967,0.959062517,8.402900999,7.645759014,-0.757141985,0
43:01.8,-0.649950027,-7.978050232,-2.128950119,0.022824999,0.549037516,0.268400013,7.645759014,8.282762169,0.637003155,0
43:01.9,-4.300050259,-9.084000587,-4.447950363,0.311162502,0.436287493,-0.212575004,8.282762169,10.99062152,2.707859348,0
43:02.0,-1.642050028,-8.337000847,-3.859050274,-0.057062499,0.751299977,0.082087502,10.99062152,9.332426289,-1.658195229,0
43:02.1,1.678950071,-17.64195061,-6.907950401,0.158950001,0.570349991,-0.200887501,9.332426289,19.02043831,9.688012017,0
43:02.1,2.5870502,-9.322050095,3.634050131,-0.106012501,-0.882337511,-0.193462506,19.02043831,10.33439728,-8.686041029,0
43:02.2,-3.451950073,-8.55300045,-2.351999998,1.224300027,-0.602387488,-1.470562458,10.33439728,9.518491477,-0.815905799,0
43:02.3,0.060000002,-9.460050583,-0.252000004,1.042250037,-0.348012507,-0.114675,9.518491477,9.463596622,-0.054894855,0
43:02.4,0.364050031,-8.899950027,0.499050021,0.652712524,0.089374997,-0.400949985,9.463596622,8.921361658,-0.542234964,0
