timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,prev_mag,mag,mag_delta,original_steps
26:18.0,-4.921050072,-7.132950306,4.060950279,-0.032587498,0.626862526,-0.056787498,19.32735669,9.570111339,-9.757245351,0
26:18.1,4.522050381,-11.43600082,1.242000103,1.440312505,0.983399987,1.516075015,9.570111339,12.36016257,2.79005123,0
26:18.2,-0.825000048,-7.61400032,-0.120000005,1.644637465,0.866387486,0.349799991,12.36016257,7.659505595,-4.700656975,0
26:18.3,1.336950064,-8.385000229,0.868050039,0.894299984,0.695062518,0.797774971,7.659505595,8.535172827,0.875667232,0
26:18.4,2.84100008,-10.67505074,-0.124950007,0.743187487,0.574750006,0.956312478,8.535172827,11.04733462,2.512161791,0
26:18.4,4.801950455,-12.22695065,-3.022950172,0.271699995,0.430099994,0.397650003,11.04733462,13.47943908,2.432104465,0
26:18.5,6.490950108,-12.71295071,-2.89800024,-1.841812491,0.671687484,-0.698499978,13.47943908,14.56536832,1.085929239,0
26:18.6,-4.02300024,-13.66095066,2.752950191,-2.996399879,-1.282325029,-1.644500017,14.56536832,14.50464886,-0.060719459,0
26:18.7,0.771000028,-9.082050323,2.511000156,-1.020249963,0.044824999,-1.313537478,14.50464886,9.454268925,-5.050379938,0
26:18.8,-2.784000158,-3.790950298,1.066950083,-0.559350014,-2.567812443,-1.550862551,9.454268925,4.822897835,-4.63137109,0
26:18.8,-1.852950096,-5.403000355,-1.885050058,0.696437478,-0.892787516,-0.29837501,4.822897835,6.014919003,1.192021168,0
26:18.9,5.965950489,-12.3390007,-6.181950092,0.412225008,-0.45539999,0.139012501,6.014919003,15.03529217,9.020373162,0
26:19.0,4.085999966,-12.46905041,-4.278000355,0.338800013,-0.397924989,-0.111100003,15.03529217,13.80122824,-1.23406393,0
26:19.1,-5.409000397,-6.258000374,2.161050081,0.157849997,0.555637479,0.037950002,13.80122824,8.549268473,-5.251959763,0
26:19.2,3.850950241,-11.33100033,1.230000019,1.13478744,0.624799967,1.473587513,8.549268473,12.03055636,3.481287883,0
26:19.2,0.501000047,-8.122050285,0.138000011,1.534912467,0.830224991,0.463649988,12.03055636,8.138657499,-3.891898857,0
26:19.3,0.213000014,-8.204999924,-0.273000002,1.194462538,0.659862518,0.638137519,8.138657499,8.212303073,0.073645573,0
26:19.4,2.007000208,-9.700050354,-0.580050051,0.732599974,0.51631248,0.926612496,8.212303073,9.922473722,1.71017065,0
26:19.5,3.262050152,-11.65395069,-2.308950186,0.588912487,0.216150001,0.624387503,9.922473722,12.32017812,2.397704396,0
26:19.6,5.370000362,-13.89600086,-4.366050243,-0.74772501,0.38637501,-0.294112504,12.32017812,15.52411474,3.203936626,0
26:19.6,-6.280950069,-15.11505032,4.816950321,-3.100762367,-0.825687468,-1.734012485,15.52411474,17.06218304,1.5380683,0
26:19.7,4.903050423,-10.47105026,0.801000059,-1.217012525,0.348149985,-0.954937518,17.06218304,11.5898403,-5.472342746,0
26:19.8,-2.344050169,-4.893000126,0.600000024,-0.608299971,-1.700462461,-1.980824947,11.5898403,5.458573207,-6.131267091,0
26:19.9,-4.080000401,-5.782050133,-0.112950005,0.134474993,-1.628137469,-0.722975016,5.458573207,7.077518259,1.618945052,0
26:19.9,8.232000351,-14.39895058,-13.6039505,0.997562468,-0.424462497,0.611599982,7.077518259,21.451412,14.37389374,0
26:20.0,3.909000158,-5.845950127,-5.113950253,0.454849988,-0.135024995,-0.39311251,21.451412,8.695280462,-12.75613154,0
26:20.1,-7.585950375,-2.419050217,0.769950032,-0.113437496,0.519474983,-0.157849997,8.695280462,7.999454362,-0.6958261,0
26:20.2,4.669950008,-11.65695095,1.057050109,1.002925038,0.369325012,1.601325035,7.999454362,12.60199561,4.602541253,0
26:20.3,-0.139950007,-7.711950302,-0.64200002,1.602012515,0.967450023,0.445499986,12.60199561,7.739891956,-4.862103659,0
