timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,prev_mag,mag,mag_delta,original_steps,binary
53:56.6,-1.824527264,-9.83150959,0.491126835,-0.049173206,-0.075745061,-0.000763559,0,10.01142778,10.01142778,0,0
53:56.6,-1.92741859,-9.805189133,0.160917327,-0.049173206,-0.075745061,-0.000763559,10.01142778,9.994126812,-0.017300965,0,0
53:56.6,-1.996810555,-9.893723488,0.206380948,-0.049173206,-0.075745061,-0.000763559,9.994126812,10.09532614,0.101199332,0,0
53:56.6,-1.89391911,-9.814760208,0.412163705,-0.049173206,-0.075745061,-0.000763559,10.09532614,10.00431539,-0.091010752,0,0
53:56.6,-1.968096614,-9.802796364,0.404985219,-0.049173206,-0.075745061,-0.000763559,10.00431539,10.00660951,0.002294117,0,0
53:56.6,-1.956132531,-9.819545746,0.385842651,-0.049173206,-0.075745061,-0.000763559,10.00660951,10.01992054,0.013311034,0,0
53:56.6,-1.822134495,-9.881759644,0.440877587,-0.049173206,-0.075745061,-0.000763559,10.01992054,10.05801774,0.038097195,0,0
53:56.6,-1.709671736,-9.845867157,0.428913444,-0.049173206,-0.075745061,-0.000763559,10.05801774,10.00240192,-0.055615813,0,0
53:56.6,-1.673779488,-9.865009308,0.457627326,-0.049173206,-0.075745061,-0.000763559,10.00240192,10.01645492,0.014052997,0,0
53:56.6,-1.716850281,-9.946365356,0.433699101,-0.049173206,-0.075745061,-0.000763559,10.01645492,10.10276465,0.08630973,0,0
53:56.6,-1.771885157,-9.948758125,0.330807716,-0.049173206,-0.075745061,-0.000763559,10.10276465,10.11072693,0.007962275,0,0
53:56.8,-1.759921074,-9.83868885,0.299701035,-0.075745061,-0.029931515,-0.012522369,10.11072693,9.999347038,-0.111379889,0,0
53:56.8,-1.75034976,-9.793225288,0.32362926,-0.075745061,-0.029931515,-0.012522369,9.999347038,9.953678804,-0.045668234,0,0
53:56.8,-1.776670814,-9.805189133,0.373878539,-0.075745061,-0.029931515,-0.012522369,9.953678804,9.971864333,0.018185529,0,0
53:56.8,-1.786242127,-9.915258408,0.314057976,-0.075745061,-0.029931515,-0.012522369,9.971864333,10.07976402,0.107899684,0,0
53:56.8,-1.704886079,-9.941579819,0.206380948,-0.075745061,-0.029931515,-0.012522369,10.07976402,10.08881752,0.009053502,0,0
53:56.8,-1.499103427,-9.86022377,0.282951266,-0.075745061,-0.029931515,-0.012522369,10.08881752,9.977544052,-0.111273467,0,0
53:56.8,-1.482353687,-9.714262009,0.43609193,-0.075745061,-0.029931515,-0.012522369,9.977544052,9.836383228,-0.141160824,0,0
53:56.8,-1.652244091,-9.776474953,0.582054079,-0.075745061,-0.029931515,-0.012522369,9.836383228,9.932178008,0.095794781,0,0
53:56.8,-1.831705689,-10.04925728,0.445663214,-0.075745061,-0.029931515,-0.012522369,9.932178008,10.22454563,0.292367619,0,0
53:56.8,-1.87956214,-10.09472084,0.194416836,-0.075745061,-0.029931515,-0.012522369,10.22454563,10.27005066,0.045505034,0,0
53:56.8,-1.805384636,-9.786046028,0.177667081,-0.075745061,-0.029931515,-0.012522369,10.27005066,9.952772284,-0.317278377,0,0
53:57.0,-1.858026743,-9.5252285,0.199202478,-0.159583852,0.020157959,-0.036345411,9.952772284,9.706797772,-0.245974512,0,0
53:57.0,-1.855633974,-9.58265686,0.084346995,-0.159583852,0.020157959,-0.036345411,9.706797772,9.761035005,0.054237233,0,0
53:57.0,-1.922633052,-9.843474388,0.014955142,-0.159583852,0.020157959,-0.036345411,9.761035005,10.02949299,0.26845798,0,0
53:57.0,-1.996810555,-10.04925728,0.022133609,-0.159583852,0.020157959,-0.036345411,10.02949299,10.24574615,0.216253163,0,0
53:57.0,-1.901097536,-9.984650612,0.091525465,-0.159583852,0.020157959,-0.036345411,10.24574615,10.16443784,-0.081308309,0,0
53:57.0,-1.903490424,-9.874580383,0.108275227,-0.159583852,0.020157959,-0.036345411,10.16443784,10.05695466,-0.107483178,0,0
53:57.0,-2.145165443,-9.874580383,0.18005991,-0.159583852,0.020157959,-0.036345411,10.05695466,10.10650751,0.049552851,0,0
53:57.0,-2.080559254,-9.934401512,0.055633128,-0.159583852,0.020157959,-0.036345411,10.10650751,10.15008154,0.043574027,0,0
53:57.0,-1.89391911,-9.972686768,-0.054436713,-0.159583852,0.020157959,-0.036345411,10.15008154,10.1510775,0.000995956,0,0
53:57.0,-1.898704767,-9.786046028,-0.131007046,-0.159583852,0.020157959,-0.036345411,10.1510775,9.969400158,-0.181677338,0,0
53:57.0,-1.891526341,-9.766903877,-0.202791721,-0.159583852,0.020157959,-0.036345411,9.969400158,9.950447615,-0.018952543,0,0
53:57.2,-1.75034976,-9.951150894,-0.257826626,-0.197150946,-0.053907271,-0.150879279,9.950447615,10.1072055,0.156757883,0,0
53:57.2,-1.731207132,-10.15214825,-0.37986058,-0.197150946,-0.053907271,-0.150879279,10.1072055,10.30570164,0.198496139,0,0
53:57.2,-1.812563181,-10.09711361,-0.698105991,-0.197150946,-0.053907271,-0.150879279,10.30570164,10.28223908,-0.023462556,0,0
